timestamp,row_count,duplicate_id_count,negative_price_count,zero_volume_count,ohlc_violations_count,duplicate_ticker_timestamp
1786287184,300,0,0,0,0,0
1786288746,300,0,0,0,0,0
1786294964,300,0,0,0,0,0
1786404616,300,0,0,0,0,0
1786491232,300,0,0,0,0,0
1786577712,300,0,0,0,0,0
1786664148,300,0,0,0,0,0
1786749369,300,0,0,0,0,0
1787008666,300,0,0,0,0,0
1787095005,300,0,0,0,0,0
1787181483,300,0,0,0,0,0
1787268036,300,0,0,0,0,0
1787354312,300,0,0,0,0,0
1787613488,300,0,0,0,0,0
1787700029,300,0,0,0,0,0
1787803921,300,0,0,0,0,0
